,,,,,,,,,,,,,,,,,,,,,,,,
"Servicios","Monto Total","Monto Unitario",,,,,,,,,,,,,,,,,,,,,,
"Agua","7135","713.5",,,,,,,,,,,,,,,,,,,,,,
"Luz","39665","4407.22222222222",,,,,,,,,,,,,,,,,,,,,,
"Teléfono","2725","302.777777777778",,,,,,,,,,,,,,,,,,,,,,
"Celular","5000","555.555555555556",,,,,,,,,,,,,,,,,,,,,,
"Internet","20440","2271.11111111111",,,,,,,,,,,,,,,,,,,,,,
"Alquiler","332500","36944.4444444444",,,,,,,,,,,,,,,,,,,,,,,,
"Aseo","18000","2000",,,,,,,,,,,,,,,,,,,,,,,,
"Cable","10000","1111.11111111111",,,,"T. total en min:","76",,,,,,,,,,,,,,,,,,,
"Asociación","0","0","CELL","TEL",,"monto","6100",,,,,,,,,,,,,,,,,,,
"Emma","0",,"0","0",,"TELEFONO",,,,,,,,,,,,,,,,,,,,
"Javier","688",,"654","34",,"tiempo","total",,,,,,,,,,,,,,,,,,,
"Chepe","0",,"0","0",,"42","3371.05263157895",,,,,,,,,,,,,,,,,,,
"Nathanael","543",,"0","543",,"Entre Todos CEL:","558",,,,,,,,,,,,,,,,,,,
"Guillermo","888","10919","654","234",,"Entre Todos TEL:","723",,,,,,,,,,,,,,,,,,,
"Bryan","4234",,"4234","0",,,,,,,,,,,,,,,,,,,,,,
"Diego","4566",,"0","4566",,,,,,,,,,,,,,,,,,,,,,
"Mike","0",,"0","0",,,,,,,,,,,,,,,,,,,,,,
"JuanPi","0",,"0","0",,,,,,,,,,,,,,,,,,,,,,
"Otra choza","713.5","total:","5542","5377",,,,,,,,,,,,,,,,,,,,,,
"713.5",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE","AGUA","LUZ","TELEFONO","CELULAR","INTERNET","ALQUILER","ASEO","MULTAS","MORA","CABLE","SUB-TOTAL","ASOCIASIÓN","TOTAL*","TOTAL","ABONO","SALDO","SALDO",,,,,,,,,
"Emma","713.5","4407.22222222222","302.777777777778","555.555555555556","2271.11111111111","36944.4444444444","2000","0","10000","1111.11111111111","58305.7222222222","0","58305.7222222222","58305","63000","-4694.27777777778","-4695",,,,,,,,,
"Javier","713.5","4407.22222222222","302.777777777778","1243.55555555556","2271.11111111111","36944.4444444444","2000","0","-480","1111.11111111111","48513.7222222222","0","48513.7222222222","48515","42000","6513.72222222222","6515",,,,,,,,,
"Chepe","713.5","4407.22222222222","302.777777777778","555.555555555556","2271.11111111111","36944.4444444444","2000","0","5905","1111.11111111111","54210.7222222222","0","54210.7222222222","54210","55000","-789.277777777781","-790",,,,,,,,,
"Guillermo","713.5","4407.22222222222","302.777777777778","1443.55555555556","2271.11111111111","36944.4444444444","2000","0","16000","1111.11111111111","65193.7222222222","0","65193.7222222222","65195","50000","15193.7222222222","15195",,,,,,,,,
"Bryan","713.5","4407.22222222222","302.777777777778","4789.55555555556","2271.11111111111","36944.4444444444","2000","0","-1765","1111.11111111111","50774.7222222222","0","50774.7222222222","50775","47000","3774.72222222222","3775",,,,,,,,,
"JuanPi","713.5","4407.22222222222","302.777777777778","555.555555555556","2271.11111111111","36944.4444444444","2000","0","-2590","1111.11111111111","45715.7222222222","0","45715.7222222222","45715","47000","-1284.27777777778","-1285",,,,,,,,,
"Mike","713.5","4407.22222222222","302.777777777778","555.555555555556","2271.11111111111","36944.4444444444","2000","0","0","1111.11111111111","48305.7222222222","0","48305.7222222222","48305","48000","305.722222222219","305",,,,,,,,,
"Tavo","713.5","0","0","0","0","0","0","0","0","0","713.5","0","713.5","715","0","713.5","715",,,,,,,,,
"Nathanael","713.5","4407.22222222222","302.777777777778","1098.55555555556","2271.11111111111","36944.4444444444","2000","0","0","1111.11111111111","48848.7222222222","0","48848.7222222222","48850","45000","3848.72222222222","3850",,,,,,,,,
"Diego","713.5","4407.22222222222","302.777777777778","5121.55555555556","2271.11111111111","36944.4444444444","2000","0","435","1111.11111111111","53306.7222222222","0","53306.7222222222","53305","48740","4566.72222222222","4565",,,,,,,,,
,,,,,,,,,,,,"TOTAL","473889","473890","352000","ERROR","ERROR",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,"4407.22222222222"

