,,,,,,,,,,,,,,,,,,,,,,,,
"Servicios","Monto Total","Monto Unitario",,,,,,,,,,,,,,,,,,,,,,
"Agua","16695","1669.5",,,,,,,,,,,,,,,,,,,,,,
"Luz","55950","6216.66666666667",,,,,,,,,,,,,,,,,,,,,,
"Teléfono","2725","302.777777777778",,,,,,,,,,,,,,,,,,,,,,
"Celular","3350","372.222222222222",,,,,,,,,,,,,,,,,,,,,,
"Internet","14000","1555.55555555556",,,,,,,,,,,,,,,,,,,,,,
"Alquiler","332500","36944.4444444444",,,,,,,,,,,,,,,,,,,,,,
"Aseo","18000","2000",,,,,,,,,,,,,,,,,,,,,,
"Cable","10000","1111.11111111111",,,,"T. total en min:","188",,,,,,,,,,,,,,,,,,,
"Asociación","0","0","CELL","TEL",,"monto","1400",,,,,,,,,,,,,,,,,,,
"Emma","0",,"0","0",,"TELEFONO",,,,,,,,,,,,,,,,,,,,
"Javier","1106",,"654","452",,"tiempo","total",,,,,,,,,,,,,,,,,,,
"Chepe","0",,"0","0",,"45","335.106382978723",,,,,,,,,,,,,,,,,,,
"Nathanael","46",,"46","0",,"Entre Todos CEL:","11",,,,,,,,,,,,,,,,,,,
"Guillermo","345","2186","0","345",,"Entre Todos TEL:","603",,,,,,,,,,,,,,,,,,,
"Bryan","234",,"234","0",,,,,,,,,,,,,,,,,,,,,,
"Diego","455",,"455","0",,,,,,,,,,,,,,,,,,,,,,
"Mike","0",,"0","0",,,,,,,,,,,,,,,,,,,,,,
"JuanPi","0",,"0","0",,,,,,,,,,,,,,,,,,,,,,
"Otra choza","1669.5","total:","1389","797",,,,,,,,,,,,,,,,,,,,,,
"1669.5",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAE","AGUA","LUZ","TELEFONO","CELULAR","INTERNET","ALQUILER","ASEO","MULTAS","MORA","CABLE","SUB-TOTAL","ASOCIASIÓN","TOTAL*","TOTAL","ABONO","SALDO","SALDO",,,,,,,,,
"Emma","1669.5","6216.66666666667","302.777777777778","372.222222222222","1555.55555555556","36944.4444444444","2000","0","-4290","1111.11111111111","45882.2777777778","0","45882.2777777778","45880","56695","-10812.7222222222","-10815",,,,,,,,,
"Javier","1669.5","6216.66666666667","302.777777777778","1478.22222222222","1555.55555555556","36944.4444444444","2000","0","230","1111.11111111111","51508.2777777778","0","51508.2777777778","51510","50000","1508.27777777778","1510",,,,,,,,,
"Chepe","1669.5","6216.66666666667","302.777777777778","372.222222222222","1555.55555555556","36944.4444444444","2000","0","-35","1111.11111111111","50137.2777777778","0","50137.2777777778","50135","50200","-62.722222222219","-65",,,,,,,,,
"Guillermo","1669.5","6216.66666666667","302.777777777778","717.222222222222","1555.55555555556","36944.4444444444","2000","6000","340","1111.11111111111","56857.2777777778","0","56857.2777777778","56855","56000","857.277777777781","855",,,,,,,,,
"Bryan","1669.5","6216.66666666667","302.777777777778","606.222222222222","1555.55555555556","36944.4444444444","2000","3000","-55","1111.11111111111","53351.2777777778","0","53351.2777777778","53350","53000","351.277777777781","350",,,,,,,,,
"JuanPi","1669.5","6216.66666666667","302.777777777778","372.222222222222","1555.55555555556","36944.4444444444","2000","0","-1380","1111.11111111111","48792.2777777778","0","48792.2777777778","48790","45000","3792.27777777778","3790",,,,,,,,,
"Mike","1669.5","6216.66666666667","302.777777777778","372.222222222222","1555.55555555556","36944.4444444444","2000","0","710","1111.11111111111","50882.2777777778","0","50882.2777777778","50880","50000","882.277777777781","880",,,,,,,,,
"Tavo","1669.5","0","0","0","0","0","0","0","0","0","1669.5","0","1669.5","1670","0","1669.5","1670",,,,,,,,,
"Nathanael","1669.5","6216.66666666667","302.777777777778","418.222222222222","1555.55555555556","36944.4444444444","2000","0","6710","1111.11111111111","56928.2777777778","0","56928.2777777778","56930","51860","5068.27777777778","5070",,,,,,,,,
"Diego","1669.5","6216.66666666667","302.777777777778","827.222222222222","1555.55555555556","36944.4444444444","2000","0","405","1111.11111111111","51032.2777777778","0","51032.2777777778","51030","50500","532.277777777781","530",,,,,,,,,
,,,,,,,,,,,,"TOTAL","467041","467040","360895","3786.00000000003","3785",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,"6216.66666666667"

